Pedido,Data,Total_custo,Valor_liquido,Forma_pagamento,Cliente,Lucro,Percentual_lucro
20686,2020-01-06 00:00:00,128.7,128.7,DINHEIRO E CHEQUE ,ALFA,54.72,0.4251748251748252
20687,2020-01-06 00:00:00,184.28,184.28,DINHEIRO E CHEQUE ,ALFA,93.42,0.5069459518124593
20688,2020-01-06 00:00:00,114.4,114.4,DINHEIRO E CHEQUE ,ALFA,48.64,0.42517482517482513
20687,2020-01-06 00:00:00,1068,1068,CHEQUE,BASICO,540.48,0.5060674157303371
20688,2020-01-06 00:00:00,5370.3,5210,CHEQUE E DINHEIRO,PRIMOSUL,2244.04,0.4307178502879079
20689,2020-01-06 00:00:00,390,390,DINHEIRO E CHEQUE ,ALFA,142.5,0.36538461538461536
20690,2020-01-06 00:00:00,192,192,CHEQUE E DINHEIRO,PANORAMA,105.24,0.548125
20691,2020-01-06 00:00:00,556,556,TRANSFERS BRADESCO,MINERAÇÃO CAIEIRAS,227.2,0.40863309352517985
20692,2020-01-06 00:00:00,1454,1454,CREDITO 4 X ,VALDIR / CEARÁ,626.68,0.43100412654745524
20693,2020-01-06 00:00:00,1105.02,722,TRANSFER ITAU 09/01,SALVADOR,367.6,0.5091412742382272
20694,2020-01-06 00:00:00,6182.05,3886.88,TRANSFER ITAU 09/01,SALVADOR,1845.74,0.47486415839953894
20695,2020-01-06 00:00:00,153.4,153.4,DEBITO,RETIROU,63.72,0.41538461538461535
20696,2020-01-06 00:00:00,1519,1519,TRANSFER ITAU 21/01/2020,CHARLES,960.4,0.632258064516129
20697,2020-01-06 00:00:00,283.5,283.5,DEBITO ,WILLIAN,140.87,0.49689594356261024
20698,2020-01-06 00:00:00,808.4,800,DINHEIRO E DEBITO,MILTON,352.4,0.44049999999999995
20699,2020-01-07 00:00:00,42.9,42.9,DINHEIRO E CHEQUE ,ALFA,18.24,0.42517482517482513
20700,2020-01-07 00:00:00,315,315,TRANSFER ITAU 03/02/2020,FRANSCISCA / EMERSON,112.8,0.3580952380952381
20701,2020-01-07 00:00:00,350,350,DINHEIRO,DEPOSITO IPÊ,130.0,0.37142857142857144
20702,2020-01-07 00:00:00,1148.48,1148.48,TRANSFER ITAU 15/01/2020,GRANICUT / CITRINO,616.98,0.5372144051267763
20703,2020-01-07 00:00:00,24,24,DINHEIRO,2 KG. ARAME TORCIDO,10.0,0.4166666666666667
20704,2020-01-07 00:00:00,1475.1,1364,DINHEIRO,MARIANO / MAURO,661.32,0.4848387096774194
20705,2020-01-07 00:00:00,91,91,CREDITO,7 TABUAS 20 CM,32.62,0.35846153846153844
20706,2020-01-07 00:00:00,84,84,CHEQUE,DEPOSITO SANTO ANTONIO,25.2,0.3
20707,2020-01-07 00:00:00,7690.56,7690.56,TRANSFER ITAU 23/01/2020,SALVADOR,3494.72,0.4544168435068447
20708,2020-01-07 00:00:00,817.55,790,CREDITO 2 X ,PELEGRINO,356.93,0.4518101265822785
20708 B,2020-01-07 00:00:00,114.5,114.5,CREDITO,"2 3/8 9X15 - 3,00 + 1 3/8 9X25 - 1,50",52.5,0.4585152838427948
20709,2020-01-07 00:00:00,12,12,DINHEIRO,1 KG. ARAME ,5.0,0.4166666666666667
20710,2020-01-08 00:00:00,215.1,215.1,CHEQUE,AABM,66.6,0.30962343096234307
20711,2020-01-08 00:00:00,2786.1,2646,TRANSFER ITAU 09/01,DANIELA,1189.18,0.4494255479969766
20712,2020-01-08 00:00:00,500.5,500.5,DINHEIRO E CHEQUE ,ALFA,212.8,0.4251748251748252
20713,2020-01-08 00:00:00,639.4,620.22,DINHEIRO,PRIMOSUL,242.1,0.39034536132340136
20714,2020-01-08 00:00:00,641.19,621.95,DINHEIRO,PRIMOSUL,302.75,0.4867754642656162
20715,2020-01-08 00:00:00,192,192,CREDITO,JOSE PEREIRA,93.45,0.48671875000000003
20716,2020-01-08 00:00:00,1664.22,1644.22,CREDITO 4 X ,ELIZETE,719.61,0.4376604104073664
20717,2020-01-08 00:00:00,289.8,275,DINHEIRO,MARIANO / MAURO,113.56,0.41294545454545456
20718,2020-01-08 00:00:00,628.32,628.32,CHEQUE,DEPOSITO SANTO ANTONIO,232.48,0.3700025464731347
20719,2020-01-08 00:00:00,3988.9,3700,DEBITO,PEDRO ARAUJO,1589.1,0.42948648648648646
20720,2020-01-08 00:00:00,756,700,DEBITO,PEDRO ARAUJO,233.85,0.3340714285714286
20721,2020-01-08 00:00:00,262.5,262.5,CHEQUE,BASICO,148.75,0.5666666666666667
20721 B,2020-01-08 00:00:00,10,10,DINHEIRO,3 METROS FERRO 3/8,4.63,0.46299999999999997
20722,2020-01-08 00:00:00,152.9,152.9,CHEQUE,AABM,62.48,0.40863309352517985
20723,2020-01-08 00:00:00,70,70,CREDITO,"1 6 F 3/8 9X20 - 1,50 + 1 SAP 6 F 50X30",33.22,0.47457142857142853
20724,2020-01-08 00:00:00,520,500,CREDITO 3 X ,VALDIR / CEARÁ,280.2,0.5604
20725,2020-01-08 00:00:00,342,342,TRANSFER ITAU 15/01/2020,GRANICUT / CITRINO,121.54,0.35538011695906435
